witness_qualified	witness_module	failure_class	error_message	reference_bare_name	selected_decl_module	selected_decl_params	candidate_decl_modules	scope_module_count	scope_ambiguous_bare_names
test.claim.ci_deploy_target_host_witness.witness_deploy_job_not_on_ubicloud_runner	test.claim.ci_deploy_target_host_witness	no_such_function	no such function: gunbc_ci_deploy_srv1_stage	gunbc_ci_deploy_srv1_stage				910	97
test.claim.ci_exclusion_proof.ci_exclusion_proof_sentinel	test.claim.ci_exclusion_proof	other	returned Bool(false)					910	97
test.claim.citation_cit1_witness.rfc_8118_anchor_cites_current_standard_not_3778	test.claim.citation_cit1_witness	other	returned Bool(false)					912	64
test.claim.citation_cit1_witness.iso_32000_2_is_further_citation	test.claim.citation_cit1_witness	other	returned Bool(false)					912	64
test.claim.citation_cit1_witness.project_navigable_uri_safe_refuses_when_base_carries_fragment	test.claim.citation_cit1_witness	other	returned Bool(false)					912	64
test.claim.commit_writer_heal_admission_real_execution.clean_staged_index_admits_by_real_execution	test.claim.commit_writer_heal_admission_real_execution	other	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit					871	40
test.claim.commit_writer_heal_admission_real_execution.unmerged_index_with_no_markers_refuses_by_real_execution	test.claim.commit_writer_heal_admission_real_execution	other	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit					871	40
test.claim.commit_writer_heal_admission_real_execution.unclaimed_text_blob_with_markers_refuses_red_control_by_real_execution	test.claim.commit_writer_heal_admission_real_execution	other	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit					871	40
test.claim.commit_writer_heal_admission_real_execution.space_and_tab_named_paths_admit_by_real_execution	test.claim.commit_writer_heal_admission_real_execution	other	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit					871	40
test.claim.compute_board_emission_entry_witness.w_the_production_article_emits_through_every_entry	test.claim.compute_board_emission_entry_witness	call_contract_mismatch	call contract mismatch calling 'emit_verilog': missing required argument 'emitted' (0 of 1 required argument(s) supplied)	emit_verilog	v2.test.claim.verilog_interlock_emission_test		product.compute_board.emission_entry|v2.test.claim.verilog_interlock_emission_test	927	58
test.claim.compute_board_physical_witness.w_a_coherent_placement_is_admitted	test.claim.compute_board_physical_witness	call_contract_mismatch	call contract mismatch calling 'admits': no parameter named 'placements' (declared: [coverage])	admits	test.claim.check_coverage_admission_witness	coverage	test.claim.altra_minimal_design_witness|test.claim.check_coverage_admission_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_power_distribution_witness|test.claim.ice40_supply_witness|test.claim.spatial_knowledge_witness	905	57
test.claim.compute_board_physical_witness.w_a_part_that_does_not_fit_inside_the_outline_refuses	test.claim.compute_board_physical_witness	call_contract_mismatch	call contract mismatch calling 'refuses_naming': no parameter named 'placements' (declared: [assignments, wanted])	refuses_naming	test.claim.compute_board_pin_chain_witness	assignments, wanted	test.claim.altra_minimal_design_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_pin_chain_witness|test.claim.compute_board_power_distribution_witness	905	57
test.claim.compute_board_physical_witness.w_two_parts_sharing_area_refuse	test.claim.compute_board_physical_witness	call_contract_mismatch	call contract mismatch calling 'refuses_naming': no parameter named 'placements' (declared: [assignments, wanted])	refuses_naming	test.claim.compute_board_pin_chain_witness	assignments, wanted	test.claim.altra_minimal_design_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_pin_chain_witness|test.claim.compute_board_power_distribution_witness	905	57
test.claim.compute_board_physical_witness.w_touching_bodies_do_not_register_as_overlapping	test.claim.compute_board_physical_witness	call_contract_mismatch	call contract mismatch calling 'admits': no parameter named 'placements' (declared: [coverage])	admits	test.claim.check_coverage_admission_witness	coverage	test.claim.altra_minimal_design_witness|test.claim.check_coverage_admission_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_power_distribution_witness|test.claim.ice40_supply_witness|test.claim.spatial_knowledge_witness	905	57
test.claim.compute_board_physical_witness.w_a_repeated_placement_identity_refuses	test.claim.compute_board_physical_witness	call_contract_mismatch	call contract mismatch calling 'refuses_naming': no parameter named 'placements' (declared: [assignments, wanted])	refuses_naming	test.claim.compute_board_pin_chain_witness	assignments, wanted	test.claim.altra_minimal_design_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_pin_chain_witness|test.claim.compute_board_power_distribution_witness	905	57
test.claim.compute_board_physical_witness.w_a_placement_in_another_frame_refuses	test.claim.compute_board_physical_witness	call_contract_mismatch	call contract mismatch calling 'refuses_naming': no parameter named 'placements' (declared: [assignments, wanted])	refuses_naming	test.claim.compute_board_pin_chain_witness	assignments, wanted	test.claim.altra_minimal_design_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_pin_chain_witness|test.claim.compute_board_power_distribution_witness	905	57
test.claim.compute_board_physical_witness.w_a_millimetre_board_frame_refuses	test.claim.compute_board_physical_witness	other	non-exhaustive pattern match on: BoardFrameIsNotSubMillimetre { frame: CoordinateFrameIdentity { occurrence: 13 } }					905	57
test.claim.compute_board_physical_witness.w_an_unregistered_board_frame_refuses_distinctly	test.claim.compute_board_physical_witness	other	non-exhaustive pattern match on: BoardFrameUnregistered { frame: CoordinateFrameIdentity { occurrence: 11 } }					905	57
test.claim.compute_board_pin_chain_witness.w_the_production_pin_constraints_emit_exact_bytes	test.claim.compute_board_pin_chain_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'bindings' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	899	52
test.claim.compute_board_pin_chain_witness.w_a_respelled_port_moves_the_constraint_file	test.claim.compute_board_pin_chain_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'bindings' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	899	52
test.claim.compute_board_readiness_witness.w_altra_contact_map_is_published_and_lands_in_design_family	test.claim.compute_board_readiness_witness	other	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)					37	0
test.claim.compute_board_spice_projection_witness.w_modelled_circuit_emits_expected_deck_bytes	test.claim.compute_board_spice_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	54
test.claim.compute_board_spice_projection_witness.w_one_perturbed_value_changes_the_deck	test.claim.compute_board_spice_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	54
test.claim.compute_board_spice_projection_witness.w_unmodelled_element_refuses_and_emits_nothing	test.claim.compute_board_spice_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	54
test.claim.compute_board_spice_projection_witness.w_model_standing_alone_decides_the_arm	test.claim.compute_board_spice_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	54
test.claim.compute_board_spice_projection_witness.w_vendor_subcircuit_refuses_rather_than_emitting_an_ideal_part	test.claim.compute_board_spice_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	54
test.claim.compute_board_spice_projection_witness.w_missing_binding_is_not_an_absent_model	test.claim.compute_board_spice_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	54
test.claim.compute_board_spice_projection_witness.w_duplicate_model_binding_refuses_in_either_order	test.claim.compute_board_spice_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	54
test.claim.compute_board_spice_projection_witness.w_same_circuit_without_the_extra_net_emits	test.claim.compute_board_spice_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	54
test.claim.compute_board_verilog_projection_witness.w_interlock_emits_exact_verilog_bytes	test.claim.compute_board_verilog_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'intent' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	55
test.claim.compute_board_verilog_projection_witness.w_fault_polarity_change_changes_emitted_bytes	test.claim.compute_board_verilog_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'intent' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	55
test.claim.compute_board_verilog_projection_witness.w_digital_change_is_confined_to_the_digital_projection	test.claim.compute_board_verilog_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'intent' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	55
test.claim.compute_board_verilog_projection_witness.w_reserved_word_spelling_refuses	test.claim.compute_board_verilog_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'intent' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	55
test.claim.compute_board_verilog_projection_witness.w_spelling_with_a_forbidden_character_refuses	test.claim.compute_board_verilog_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'intent' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	55
test.claim.compute_board_verilog_projection_witness.w_production_bindings_are_admitted	test.claim.compute_board_verilog_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'intent' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	55
test.claim.compute_board_verilog_projection_witness.w_duplicate_signal_binding_refuses_in_either_order	test.claim.compute_board_verilog_projection_witness	call_contract_mismatch	call contract mismatch calling 'project': no parameter named 'intent' (declared: [obs, unit, linger])	project	test.claim.spark_serving_full_plan_witness_test	obs, unit, linger	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	903	55
test.claim.config_record_emit_witness.witness_manifest_knobs_space_separated	test.claim.config_record_emit_witness	no_such_function	no such function: manifest_record_knobs	manifest_record_knobs				911	97
test.claim.config_record_emit_witness.witness_same_fields_differ_across_knobs	test.claim.config_record_emit_witness	no_such_function	no such function: manifest_record_knobs	manifest_record_knobs				911	97
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_single_param_lambda_parses	gunbc.test.claim.dag_arrow_lambda_witness_test	other	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					100	0
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_multi_param_lambda_parses	gunbc.test.claim.dag_arrow_lambda_witness_test	other	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					100	0
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_lambda_in_pipeline_parses	gunbc.test.claim.dag_arrow_lambda_witness_test	other	eval budget exceeded: 502ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					100	0
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_authored_algebra_shape_parses	gunbc.test.claim.dag_arrow_lambda_witness_test	other	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					100	0
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_lambda_block_body_parses	gunbc.test.claim.dag_arrow_lambda_witness_test	other	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					100	0
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_match_arm_fat_arrow_unchanged	gunbc.test.claim.dag_arrow_lambda_witness_test	other	eval budget exceeded: 504ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					100	0
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_named_arg_unchanged	gunbc.test.claim.dag_arrow_lambda_witness_test	other	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					100	0
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_paren_arithmetic_unchanged	gunbc.test.claim.dag_arrow_lambda_witness_test	other	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					100	0
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_sum_decl_unchanged	gunbc.test.claim.dag_arrow_lambda_witness_test	other	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					100	0
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_missing_body_refuses_RED	gunbc.test.claim.dag_arrow_lambda_witness_test	other	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					100	0
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_missing_param_refuses_RED	gunbc.test.claim.dag_arrow_lambda_witness_test	other	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)					100	0
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_single_paren_param_refuses_RED	gunbc.test.claim.dag_arrow_lambda_witness_test	other	eval budget exceeded: 504ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					100	0
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_zero_param_refuses_RED	gunbc.test.claim.dag_arrow_lambda_witness_test	other	eval budget exceeded: 502ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					100	0
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_pre_repair_grammar_restores_the_RED	gunbc.test.claim.dag_arrow_lambda_witness_test	other	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					100	0
test.claim.dag_collect_fingerprint_witness_test.dag_collect_fingerprint_witness_keystone_holds	test.claim.dag_collect_fingerprint_witness_test	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					915	97
test.claim.dag_compile_clean_perturb_receipts.perturb_optional_skew_fixture_red_holds	test.claim.dag_compile_clean_perturb_receipts	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					93	1
test.claim.dag_compile_clean_perturb_receipts.perturb_unresolved_import_fixture_red_holds	test.claim.dag_compile_clean_perturb_receipts	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					93	1
test.claim.dag_compile_clean_perturb_receipts.perturb_fixture_green_holds	test.claim.dag_compile_clean_perturb_receipts	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					93	1
test.claim.dag_compile_clean_seam_witness.cross_shard_seam_preservation_holds_on_live_tree	test.claim.dag_compile_clean_seam_witness	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					918	97
test.claim.dag_compile_clean_shard_a_witness.compile_clean_shard_a_exemplar_compile_green	test.claim.dag_compile_clean_shard_a_witness	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					917	97
