file	line	col	expected	found	pair_signature	root	reason	entry_example
src/v2_compiler_emit_host.rs	339	21	Witness<ExitOk>	Witness<Rc<Outcome<Rc<...>>>>	expected `Witness<ExitOk>`, found `Witness<Rc<Outcome<Rc<...>>>>`	RESIDUE-witness	witness_parametrization_tail	emit_host
src/v2_compiler_emit_host.rs	343	70	Witness<ExitOk>	Witness<Rc<Outcome<Rc<...>>>>	expected `Witness<ExitOk>`, found `Witness<Rc<Outcome<Rc<...>>>>`	RESIDUE-witness	witness_parametrization_tail	emit_host
src/v2_compiler_emit_host.rs	346	65	Witness<ExitOk>	Witness<Rc<Outcome<Rc<...>>>>	expected `Witness<ExitOk>`, found `Witness<Rc<Outcome<Rc<...>>>>`	RESIDUE-witness	witness_parametrization_tail	emit_host
src/v2_compiler_emit_host.rs	412	32	Rc<HostLogicalRun>	HostLogicalRun	expected `Rc<HostLogicalRun>`, found `HostLogicalRun`	R1	under_wrapped_bare_leaf	emit_host
src/v2_compiler_emit_module.rs	33	5	Rc<Outcome<String>>	Rc<Outcome<Rc<Vector<_>>>>	expected `Rc<Outcome<String>>`, found `Rc<Outcome<Rc<Vector<_>>>>`	T2	text_carrier_string_vs_freemonoid_vec	emit_host
src/v2_compiler_emit_module.rs	33	92	Rc<Vector<_>>	String	expected `Rc<Vector<_>>`, found `String`	T2	text_carrier_string_vs_freemonoid_vec	emit_host
src/v2_compiler_emit_module.rs	33	146	Rc<Vector<_>>	String	expected `Rc<Vector<_>>`, found `String`	T2	text_carrier_string_vs_freemonoid_vec	emit_host
src/v2_compiler_emit_module.rs	42	12	String	Rc<Vector<_>>	expected `String`, found `Rc<Vector<_>>`	T2	text_carrier_string_vs_freemonoid_vec	emit_host
src/v2_compiler_emit_module.rs	67	5	Rc<Outcome<String>>	Rc<Outcome<Rc<Vector<_>>>>	expected `Rc<Outcome<String>>`, found `Rc<Outcome<Rc<Vector<_>>>>`	T2	text_carrier_string_vs_freemonoid_vec	emit_host
src/v2_compiler_emit_module.rs	67	106	Rc<Vector<_>>	String	expected `Rc<Vector<_>>`, found `String`	T2	text_carrier_string_vs_freemonoid_vec	emit_host
src/v2_compiler_emit_module.rs	67	160	Rc<Vector<_>>	String	expected `Rc<Vector<_>>`, found `String`	T2	text_carrier_string_vs_freemonoid_vec	emit_host
src/v2_compiler_emit_module.rs	72	12	String	Rc<Vector<_>>	expected `String`, found `Rc<Vector<_>>`	T2	text_carrier_string_vs_freemonoid_vec	emit_host
src/v2_compiler_eval.rs	196	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	196	44	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	196	164	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	196	216	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	200	5	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	200	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	312	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	312	44	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	312	226	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	312	309	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	317	24	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	319	13	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	321	13	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	321	36	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	327	5	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	327	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	454	161	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	454	161	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	468	46	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	468	46	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	469	50	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	475	75	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	476	97	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	476	201	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	483	66	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	483	235	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	489	43	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	489	43	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	490	43	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	491	63	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	491	139	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	496	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	496	18	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	496	52	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	504	5	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	504	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	522	65	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	522	65	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	531	5	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	531	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	539	5	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	539	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	547	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	547	18	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	547	106	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	547	236	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	551	5	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	551	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	555	5	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	555	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	579	61	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	579	74	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	579	117	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	579	279	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	580	72	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	580	167	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	585	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	585	18	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	586	44	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	594	35	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	594	35	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	600	5	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	600	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	648	118	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	648	131	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	648	219	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	649	148	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	649	255	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	649	347	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	662	5	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	662	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	666	5	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	666	18	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	666	62	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_eval.rs	698	13	HashMap<Rc<EnvironmentBindingKey>, ...>	Rc<PartialFunction<_, _>>	expected `HashMap<Rc<EnvironmentBindingKey>, ...>`, found `Rc<PartialFunction<_, _>>`	T3	collection_carrier_record_vs_native_im	03_ingest
src/v2_compiler_eval.rs	718	27	&HashMap<String, _>	&Rc<HashMap<Rc<Node>, Rc<...>>>	expected `&HashMap<String, _>`, found `&Rc<HashMap<Rc<Node>, Rc<...>>>`	T3	collection_carrier_record_vs_native_im	03_ingest
src/v2_compiler_eval.rs	790	56	Witness<Rc<Node>>	Witness<Rc<...>>	expected `Witness<Rc<Node>>`, found `Witness<Rc<...>>`	RESIDUE-witness	witness_parametrization_tail	03_ingest
src/v2_compiler_eval.rs	798	17	Witness<Rc<Node>>	Witness<Rc<...>>	expected `Witness<Rc<Node>>`, found `Witness<Rc<...>>`	RESIDUE-witness	witness_parametrization_tail	03_ingest
src/v2_compiler_eval.rs	808	17	Witness<Rc<InferredFacts>>	Witness<Rc<...>>	expected `Witness<Rc<InferredFacts>>`, found `Witness<Rc<...>>`	RESIDUE-witness	witness_parametrization_tail	03_ingest
src/v2_compiler_eval.rs	817	17	Witness<Rc<InferredFacts>>	Witness<Rc<...>>	expected `Witness<Rc<InferredFacts>>`, found `Witness<Rc<...>>`	RESIDUE-witness	witness_parametrization_tail	03_ingest
src/v2_compiler_eval.rs	906	121	&HashMap<String, _>	&Rc<HashMap<Rc<...>, ...>>	expected `&HashMap<String, _>`, found `&Rc<HashMap<Rc<...>, ...>>`	T3	collection_carrier_record_vs_native_im	03_ingest
src/v2_compiler_eval.rs	1246	83	Rc<EvaluationEnvironment>	Rc<InferredTree>	expected `Rc<EvaluationEnvironment>`, found `Rc<InferredTree>`	RESIDUE	unclassified_pair: Rc<EvaluationEnvironment> | Rc<InferredTree>	03_ingest
src/v2_compiler_infer.rs	164	5	Rc<Witness<Rc<TerminationProof>>>	Rc<Witness<TerminationProof>>	expected `Rc<Witness<Rc<TerminationProof>>>`, found `Rc<Witness<TerminationProof>>`	RESIDUE-witness	witness_parametrization_tail	05_emit
src/v2_compiler_infer.rs	185	20	HashMap<Rc<Node>, Rc<InferredFacts>>	Rc<PartialFunction<_, _>>	expected `HashMap<Rc<Node>, Rc<InferredFacts>>`, found `Rc<PartialFunction<_, _>>`	T3	collection_carrier_record_vs_native_im	05_emit
src/v2_compiler_infer.rs	374	63	Witness<Rc<TerminationProof>>	Witness<TerminationProof>	expected `Witness<Rc<TerminationProof>>`, found `Witness<TerminationProof>`	RESIDUE-witness	witness_parametrization_tail	05_emit
src/v2_compiler_infer.rs	407	14	Rc<Witness<TerminationProof>>	Rc<Witness<Rc<TerminationProof>>>	expected `Rc<Witness<TerminationProof>>`, found `Rc<Witness<Rc<TerminationProof>>>`	RESIDUE-witness	witness_parametrization_tail	05_emit
src/v2_compiler_infer.rs	426	14	Rc<Witness<TerminationProof>>	Rc<Witness<Rc<TerminationProof>>>	expected `Rc<Witness<TerminationProof>>`, found `Rc<Witness<Rc<TerminationProof>>>`	RESIDUE-witness	witness_parametrization_tail	05_emit
src/v2_compiler_infer.rs	507	20	HashMap<Rc<Node>, Rc<InferredFacts>>	Rc<PartialFunction<_, _>>	expected `HashMap<Rc<Node>, Rc<InferredFacts>>`, found `Rc<PartialFunction<_, _>>`	T3	collection_carrier_record_vs_native_im	05_emit
src/v2_compiler_infer.rs	516	27	&HashMap<String, _>	&Rc<HashMap<Rc<Node>, Rc<...>>>	expected `&HashMap<String, _>`, found `&Rc<HashMap<Rc<Node>, Rc<...>>>`	T3	collection_carrier_record_vs_native_im	05_emit
src/v2_compiler_name_resolve.rs	491	5	Rc<AdmitExportsFold>	AdmitExportsFold	expected `Rc<AdmitExportsFold>`, found `AdmitExportsFold`	R1	under_wrapped_bare_leaf	03_ingest
src/v2_compiler_parse.rs	383	27	&HashMap<String, _>	&Rc<HashMap<Rc<ParsePositionKey>, ...>>	expected `&HashMap<String, _>`, found `&Rc<HashMap<Rc<ParsePositionKey>, ...>>`	T3	collection_carrier_record_vs_native_im	03_ingest
src/v2_compiler_parse.rs	407	5	Rc<Diagnostic>	Diagnostic	expected `Rc<Diagnostic>`, found `Diagnostic`	R1	under_wrapped_bare_leaf	03_ingest
src/v2_compiler_parse.rs	500	104	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_parse.rs	500	117	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_parse.rs	504	115	String	Rc<Fnv1a64Structural>	expected `String`, found `Rc<Fnv1a64Structural>`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_parse.rs	504	128	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_parse.rs	504	154	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
src/v2_compiler_parse.rs	504	374	Rc<Fnv1a64Structural>	String	expected `Rc<Fnv1a64Structural>`, found `String`	T7	seed_prelude_hash_name_collision	03_ingest
