# source_run=33242663070 head=0ed773f1a5 (full-tree floor, my branch)  seam_denominator=14  digest=8f7b9bb846bdac2c
# candidate_entries=1145  joined_claims=8450  standing is SCHEDULER standing, not cutover disposition
claim_identity	module	entry_path	floor_standing	matched_prefix
test.claim.compiler_frontend_program_status_witness.a_mixed_prerequisite_set_preserves_both_identities	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.a_not_derivable_standing_never_agrees	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.a_populated_observation_is_outstanding_not_clear	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.a_single_milestone_instrument_reports_one	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.a_standing_agrees_only_when_its_class_matches_its_population	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.an_empty_observed_population_is_clear	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.an_outstanding_only_prerequisite_names_its_blocker	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.every_declared_instrument_is_distinct_and_awaited	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.every_milestone_startability_agrees_with_its_prerequisite_standings	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.the_board_obstacle_cites_the_authority_it_is_about	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.the_census_counts_authored_rows_exactly	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.the_census_separates_the_two_not_derivable_startability_classes	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.the_emitter_population_unions_both_of_its_rosters	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.the_four_direct_prerequisite_states_are_each_exhibited	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.the_live_census_partitions_on_both_axes	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.the_milestone_roster_entries_are_distinct	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.the_obstacle_axis_renders_its_three_arms_distinguishably	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.the_ratchet_observation_fold_answers_both_ways	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.the_ratchet_observation_milestone_is_wired_to_its_fold	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.the_report_renders	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.the_two_three_milestone_instruments_do_not_share_a_milestone	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.compiler_frontend_program_status_witness.the_whole_corpus_board_is_awaited_by_exactly_these_three	test.claim.compiler_frontend_program_status_witness	dag/test/claim/compiler_frontend_program_status_witness_test.dag	FloorPlanned	
test.claim.component_dispatch_button_witness.witness_dispatch_button_states_total_over_wire	test.claim.component_dispatch_button_witness	dag/test/claim/component_dispatch_button_witness_test.dag	FloorPlanned	
test.claim.component_dispatch_button_witness.witness_dropped_state_is_located_red	test.claim.component_dispatch_button_witness	dag/test/claim/component_dispatch_button_witness_test.dag	FloorPlanned	
test.claim.component_dispatch_button_witness.witness_dwell_emits_as_a_branded_duration	test.claim.component_dispatch_button_witness	dag/test/claim/component_dispatch_button_witness_test.dag	FloorPlanned	
test.claim.component_dispatch_button_witness.witness_no_fabricated_state	test.claim.component_dispatch_button_witness	dag/test/claim/component_dispatch_button_witness_test.dag	FloorPlanned	
test.claim.component_dispatch_button_witness.witness_scale_well_formed	test.claim.component_dispatch_button_witness	dag/test/claim/component_dispatch_button_witness_test.dag	FloorPlanned	
test.claim.component_dispatch_button_witness.witness_terminal_role_split_follows_ok_set	test.claim.component_dispatch_button_witness	dag/test/claim/component_dispatch_button_witness_test.dag	FloorPlanned	
test.claim.compute_board_article_witness.w_bond_endpoints_join_the_analog_circuit_by_identity	test.claim.compute_board_article_witness	dag/test/claim/compute_board_article_witness_test.dag	FloorPlanned	
test.claim.compute_board_article_witness.w_electrical_references_are_not_one_ground	test.claim.compute_board_article_witness	dag/test/claim/compute_board_article_witness_test.dag	FloorPlanned	
test.claim.compute_board_article_witness.w_every_precondition_names_what_establishes_it	test.claim.compute_board_article_witness	dag/test/claim/compute_board_article_witness_test.dag	FloorPlanned	
test.claim.compute_board_article_witness.w_firmware_contract_states_its_unknowns_rather_than_defaulting	test.claim.compute_board_article_witness	dag/test/claim/compute_board_article_witness_test.dag	FloorPlanned	
test.claim.compute_board_article_witness.w_one_article_feeds_both_emissions	test.claim.compute_board_article_witness	dag/test/claim/compute_board_article_witness_test.dag	FloorPlanned	
test.claim.compute_board_article_witness.w_physical_and_manufacturing_boundaries_refuse_with_named_causes	test.claim.compute_board_article_witness	dag/test/claim/compute_board_article_witness_test.dag	FloorPlanned	
test.claim.compute_board_article_witness.w_spice_refuses_when_one_binding_is_perturbed	test.claim.compute_board_article_witness	dag/test/claim/compute_board_article_witness_test.dag	FloorPlanned	
test.claim.compute_board_article_witness.w_the_cited_roles_do_not_collapse_onto_one_subject	test.claim.compute_board_article_witness	dag/test/claim/compute_board_article_witness_test.dag	FloorPlanned	
test.claim.compute_board_article_witness.w_the_permit_and_reset_preconditions_name_their_own_signals	test.claim.compute_board_article_witness	dag/test/claim/compute_board_article_witness_test.dag	FloorPlanned	
test.claim.compute_board_article_witness.w_the_production_article_is_admitted	test.claim.compute_board_article_witness	dag/test/claim/compute_board_article_witness_test.dag	FloorPlanned	
test.claim.compute_board_article_witness.w_the_three_upstream_roles_resolve_to_cited_subjects	test.claim.compute_board_article_witness	dag/test/claim/compute_board_article_witness_test.dag	FloorPlanned	
test.claim.compute_board_article_witness.w_the_two_uncited_roles_name_why_rather_than_answering_absent	test.claim.compute_board_article_witness	dag/test/claim/compute_board_article_witness_test.dag	FloorPlanned	
test.claim.compute_board_article_witness.w_verilog_refuses_unbound_signal	test.claim.compute_board_article_witness	dag/test/claim/compute_board_article_witness_test.dag	FloorPlanned	
test.claim.compute_board_emission_entry_witness.w_a_target_that_cannot_render_reaches_the_target_arm	test.claim.compute_board_emission_entry_witness	dag/test/claim/compute_board_emission_entry_witness_test.dag	FloorPlanned	
test.claim.compute_board_emission_entry_witness.w_an_incoherent_board_reaches_the_admission_arm_on_every_entry	test.claim.compute_board_emission_entry_witness	dag/test/claim/compute_board_emission_entry_witness_test.dag	FloorPlanned	
test.claim.compute_board_emission_entry_witness.w_every_target_cause_crosses_the_boundary	test.claim.compute_board_emission_entry_witness	dag/test/claim/compute_board_emission_entry_witness_test.dag	FloorPlanned	
test.claim.compute_board_emission_entry_witness.w_the_admission_causes_cross_the_boundary_intact	test.claim.compute_board_emission_entry_witness	dag/test/claim/compute_board_emission_entry_witness_test.dag	FloorPlanned	
test.claim.compute_board_emission_entry_witness.w_the_floating_fixture_actually_floats_exactly_one_terminal	test.claim.compute_board_emission_entry_witness	dag/test/claim/compute_board_emission_entry_witness_test.dag	FloorPlanned	
test.claim.compute_board_emission_entry_witness.w_the_production_article_emits_through_every_entry	test.claim.compute_board_emission_entry_witness	dag/test/claim/compute_board_emission_entry_witness_test.dag	FloorPlanned	
test.claim.compute_board_emission_entry_witness.w_the_same_board_still_emits_for_a_target_that_can_render_it	test.claim.compute_board_emission_entry_witness	dag/test/claim/compute_board_emission_entry_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_a_declared_signal_with_no_pin_refuses	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_a_doubled_pin_is_reported_once	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_a_doubled_signal_is_reported_once	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_a_pin_for_a_signal_the_article_never_declared_refuses	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_a_pin_the_package_does_not_have_refuses	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_a_respelled_port_moves_the_constraint_file	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_every_population_kind_has_a_distinct_discriminant	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_every_unassigned_signal_is_its_own_cause	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_kind_equality_does_not_follow_the_display_prose	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_no_package_position_is_listed_twice	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_one_signal_on_two_pins_refuses	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_the_bonded_pin_itemization_falls_one_short_and_says_so	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_the_differential_recount_is_excluded_from_the_partition	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_the_package_carries_the_facts_a_footprint_needs	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_the_population_agreement_names_its_kind	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_the_production_pin_constraints_emit_exact_bytes	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
test.claim.compute_board_pin_chain_witness.w_the_projection_refuses_a_population_it_does_not_admit	test.claim.compute_board_pin_chain_witness	dag/test/claim/compute_board_pin_chain_witness_test.dag	FloorPlanned	
